title,content,rating,username,genres
The 9/10 movie I'll never watch again.,"Personal Rating: 9/10This movie shattered me. There's the expression that something ""tugs at your heartstrings,"" well this movie ripped mine out.I'll be honest, I could find things to critique about this film, the instance of a scene that was used twice and felt sloppy perhaps; but this movie never claimed to be perfect, just to be emotionally moving, and that it certainly is. This review is written by a boy who also finds himself on the edge of adolescence and adulthood, does that mean I'm biased, absolutely, but everyone who watches this film is, everyone can relate. Your feelings I can assure you will be the same as mine when the credits start rolling, rolling like the tears down your cheeks.This movie makes you think. Conformity is easy, conformity is comfortable, conformity gets you good grades, trust me you're listening right now to a past perfect GPA teacher's pet. The thing conformity doesn't give you though, is a life, one worth living. For something to be beautiful it must also have a side of danger, and that's what freedom of thought is, as is mentioned in the movie ""we must constantly look at things in a different way,"" and that's beautiful! Yes, it means at times we don't agree, yes it means you might give this movie a 4/10 but I'll be damned if that changes my opinion of it.The themes this movie explores such as, never letting a moment slip by where you don't think for yourself, where you don't seize an opportunity, it does so beautifully. Robin Williams was not acting he was believing, everything in this movie comes across as genuine, a slice of reality, a harsh but beautiful one at that.Will I watch this movie again, I don't think so.
But please, please watch it just once, you won't ever regret it.Carpe Diem.",9.0,Anonymous,Comedy
Thank You Captain,"It was with a sad reason that I re watched Dead Poets Society, as we lose yet another talent and an all round good person in Robin Williams. This being my favorite Williams film, I took it upon myself to honor his memory by remembering his best body of work, in my opinion. Mr. Keating is the teacher that I wish I had, and granted this might be a mixed opinion within the film's context, but the matter of the fact is that he was no ordinary teacher, and that's something you don't see very often.The thing about this film is that it doesn't shorten its importance to Williams's performance. The supporting cast is one that balances the film like no other. Every one of those students that revived the DPS is, in one way or another, influenced by Mr. Keating, be that positively or, unfortunately, negatively. The story being an Oscar winning screenplay, is one that I think mostly resonates with younger people, and with this movie being part of my 10th grade Portuguese course, I, personally, embraced its essence and of course its driving message of seizing the day.As I've seen here on IMDb, this movie might not gather nearly uncontested praise, but it is very much highly regarded today as it was 25 years ago. The final scene still gives me chills to this day, and in the midst of our sad goodbye to Mr. Williams I just wanna say Thank You My Captain. It was a pleasure learning to become my own motivated person. May we all Carpe DiemRating: 9/10",9.0,Anonymous,Comedy
Anti-conformity at its most inspiring.,"Do not go where society tells you to. Find the things you love and pursue them with every fibre of your being until the day you die. That's the message I took from Dead Poets Society. Weird, inspiring and heartbreaking, DPS is a one of a kind film and one of the reasons Robin Williams is so renowned worldwide as not just a comedian, but a remarkable actor as well. After watching this movie you'll want to change the world. Amazing!",9.0,Anonymous,Comedy
A powerful antidote to conformism,"There are certain films that get under your skin, never to come out. They change your life, subtly altering your perceptions of reality, almost always for the better.Dead Poets Society is one of those few films.I saw the movie back when I was in High School. I had a teacher who told us that we really needed to watch it; in fact, it was our ""homework"" for the day. We didn't need to bring back a report, or talk about it in class. All he asked from us was to watch it, make up our own mind about it, and that was it. As you can imagine, many friends of mine didn't watch it at all; I did. And yes, I feel I changed a bit from there on.Back when you are young, you never really stop to think what in the world you are doing with your life. You simply live for the day, hope your grades will be enough to pass, and that's it. Long term thinking involves maybe flirting with a girl. Nothing more. What this film showed me was that we have the responsability and the joy of being alive in this planet. That we are dust, and we will go back to it, so we have precious little time to make a difference. That we have a moral obligation to ""seize the day, and make our lives extraordinary"" (my favorite quote in all movie history). That the world, basically is ours. That the only limitations are within ourselves, and that we owe it to us to fight, to rebel against conformity, to change what we hate and keep what we love. That living in this world is a beautiful responsability, and that only cowards dare not to change it for the better.The fact that the cast was basically my age, and was passing through the same dilemmas and situations I was facing made it all so much more powerful.So here I sit, 12 years from that day. I still don't think I have seized the day completely. But I keep on trying; I always will. I wonder how many people were transformed by this gem of a movie; I hope many.10 out of 10. A definitive masterpiece.",10.0,Anonymous,Comedy
Seize the Day- One of the Greatest Movies Ever!,"Dead Poets Scoiety. I suppose if you were in High School sometime between 1990-2008, one of your teachers thought I'd be a good idea to watch this movie and I still remember my reaction and the ones of our fellow classmates: Yeah, probably a boring movie that will try to make the school look better and encourage us to do our homework and study for our tests. I couldn't have been more wrong. This movie definitely changed my way of thinking to a certain extent and there are very few films who have moved and touched me like this one.The movie plays in 1959 and centers around a private academy somewhere in New England. The curriculum is extremely difficult and the teachers have no humor and are very strict. The new English teacher though, Mr John Keating (Robin Williams), who graduated from the very same school, uses unorthodox, but quite effective methods to teach the students about literature, and poetry. During their first lesson, he tells them that they can either call him Mr. Keating or ""Oh Captain, my Captain"", based on a quote by Walt Whitman. He encourages them to come out of themselves, use their energy to make their lives worth living and beautiful - Carpe Diem, Seize the Day! The plot also centers around two students: Neil (Robert Sean Leonard), who is funny and popular, but fails to gain his fathers pride, because of his wish to become an actor, and Todd (Ethan Hawke), who is very shy and unsure of himself, and is inspired by Keating to use his imagination and eventually we find out that he is very talented when it comes to poetry. After they find out about a club Keating was a member of while he was a student, the Dead Poets Society, which was forbidden by the school, they decide to reestablish it, what ultimately gets them into a lot of trouble.There are several key factors, that make this movie as brilliant as it is. First of all there is the acting. Robin Williams, who I really like as a Comedian, really proves that he is a great actor, who can get deep into a character and play him with such passion and energy that you will forget he's an actor. Keating, whose teaching methods are indeed unusual and will probably make you laugh a couple of times, is a very interesting role, the teacher we all would have wanted, but not because he doesn't give homework or makes up very easy, open-book tests. No, because Keating shows us that we have to come out of ourselves, make the best of our lives and especially that there is a poet in everyone of us. Then there is the terribly under-appreciated Robert Sean Leonard, who also gives a very moving performance as a student, who is kept back by his father, and therefore fails to make his dreams come true. In my opinion he is very underused as an actor, and should have gotten a lot more leading roles. As for Ethan Hawke, he definitely was the best choice for the character he plays. We can literally feel his fear and shyness when he stands in front of the class and gets no word out, because he's so embarrassed.Peter Weir, who is probably most known for his recent movie ""Master and Commander"" shows what a great director he is with this film and it definitely deserved the Oscar for Best Original Screenplay, and the nominations for Best Picture, Director and Leading Actor for Robin Williams.Some of you may have heard about Roger Ebert absolutely negative review of this movie and that ""he wanted to throw up at the end of the film"". I can understand why people might not like the ending (I won't put any spoilers), but I think it just adds to the the beauty and drama of this film, a film that should definitely be on the IMDb Top 250 Movies. This is a movie, you must have seen!!",10.0,Anonymous,Comedy
"Carpe Diem, because the days don't stand still","First of all, this is movie is my all-time favorite, out of all the hundreds of films I have seen. However, every time I mention this film, I have to answer most people's quizzical looks with ""It's a beautiful little 80s film that stayed in the 80s."" After seeing it for the 24th time since I first saw it 5 years ago, on my 13th birthday, I can gladly say that this movie went far and beyond the 80s, and the power and inspiration of the message can be felt every day.Dead Poets Society is a most underrated film by a most underrated director whose inspiring, uplifting and moral tales firmly grounded in reality are not nearly as appreciated as they should be. Here, we see one of his very personal and cradled projects, and he shows the visual style and concentration on characters in which he is so affluent. His control of the camera and the characters are very strong and very smooth. The cinematography is near perfect, with every shot, along with the editing, seamless. Also very compelling are the color-tones in every scene, perfectly matching the mood and events of the scene. Could you say this is art? Absolutely.Then we have the performances. Robin Williams continues in stride as one who has to-date remained the most touching, heart-wrenching, awe-inspiring comedians with inarguable acting talent (he still remains my most favorite performer on the film screen). His Professor John Keating is a man who embodies every professor who you thought was cool and respectable, every person who taught or enlightened you in something out of the ordinary. In fact - dare I say it? - he teaches something EXTRAORDINARY! We have the tragically underrated Robert Sean Leonard in his role as the free-thinking catalyst student Neil. Why is this man not a household name/Hollywood heavyweight? His roles are always full of inspiration, energy, and tragic emotion that never fail to move an audience. His role in this movie is fresh, unhindered, and never pretentious as the cautionary tale of the movie. And then we have Ethan Hawke in one of his earliest roles as the point-of-view character. The entire supporting cast is very strong, also, providing the foundation and serve as the various emotional ties that further involve us in the story. Josh Charles's role as Knox Overstreet is a role that almost all guys can relate to wholeheartedly. And of course, all the actors who are in that Dead Poets Society do a fine job.And lastly, the story. I won't summarize it since it's been summarized many times here, but I will say that it is one of the best coming of age stories for not only adolescents, but anyone. I have personally heard from nine-to-fivers who were inspired by this movie to change the situations of their jobs, careers, relationships for the better. I first saw this movie when I was 13, and immediately stamped, crowned and elevated this movie as my all-time favorite. Now that I am 18 and living on my own, with very different concerns than back then, I turn back to this movie over and over again, to find inspiration, solace and of course, entertainment. It is still my all-time favorite, and it still inspires me to seize the day and make my life extraordinary.",10.0,Anonymous,Comedy
Make Your Lives Extraordinary,"So today is August 12th and news has broken of Robin Williams' untimely death. I just felt compelled to review my favourite movie of his. On a rainy day back in 1980- something, my mother sat my brother, sister and me down and put on the movie, Dead Poets Society. Little did I know what a profound impact that movie, and its characters would have on me. The film is bursting with quotable material, and my siblings and I quote it to this day: O Captain My Captain, Carpe Diem, Seize the Day, and of course, Make Your Lives Extraordinary. It's not until we grow older that we can look back on a teacher like John Keating and see what he really meant to us, the chances he made us take, the way he made us feel alive. I look back now on Robin Williams' performance and see one of the most flawless performances of all time. When you watch the movie, it's hard to think of hammy, manic Robin Williams giving such a nuanced and subtle performance. It's almost as though Sean Maguire in Good Will Hunting is who John Keating became. And funny how his most subtle performances may be the ones he's most remembered for. When I heard the news of Robin's death, I was taken back to this film and really felt how integral this movie actually was to my childhood. I think it was the first time my 10 year old self was truly ""moved"" in the way that adults can be moved by art. All I can say is watch this movie. You won't be sorry.",10.0,Anonymous,Comedy
A masterful tribute to teaching at its best,"Dead Poets Society is, to use a cliché, a cinematic masterpiece. I can watch it over and over, absorbing more nuances of meaning every time. As a former teacher myself (albeit of science), I view it as a tribute to the profession at its best...teaching not merely the subject but also the person, and having a lifelong impact on students' lives.The setting is Weldon Academy, a very traditional New England boys' prep school in 1959. If I can find one flaw with the movie...and there certainly aren't many...it's the underlying premise that seems to worship free thought and implies that ALL tradition is of necessity undesirable and thus to be avoided. Frankly, compared to modern classrooms which are bastions of free expression, I found the Weldon students' respectful treatment of their teachers rather refreshing. (But perhaps that's just the ex-teacher in me coming out!) Some of Weldon's ideals, generally referred to in mocking tones, are actually qualities to which parents rightfully DO hope their offspring will aspire.Robin Williams plays Mr. Keating, the English teacher we all wish we'd had. He brings warmth, passion, and an endearing quiet humor to the role as he fosters individualism in a school environment of total conformity, endeavoring to teach these young men both the beauty of the English language and the importance of living life to the full, of ""seizing the day"". How many of us mentally revolted at the dissection of poetry when we were in school? Many a viewer will both chortle and rejoice when Mr. Keating has his class rip out the methodical, emotionless ""Introduction to Poetry"" from the time honored Pritchard textbook!The ""Dead Poets Society"", and the boys on which Mr. Keating has such a profound impact, include an interesting mix of characters...Neil Perry (the passionate young man at odds with his father's clearly defined expectations for his son's life), Todd Anderson (the classic shy adolescent, through whose eyes we view the unfolding drama), Charlie Dalton (the quintessential rebel), Knox Overstreet (the teen with whom most viewers can identify, deep in the throes of first love), and Richard Cameron (the mindless conformist).Ethan Hawke gives a moving performance as Todd, the younger brother of a former Weldon valedictorian and my personal favorite, who undergoes a character transformation as the plot unfolds. In a sense, this movie is really Todd's story. As another reviewer has wisely pointed out, his best scenes are sometimes when he has no dialogue at all. Your heart will ache for him. The sub-plot of young Overstreet's romance with a girl from a nearby school may not be brilliant, but it provides some light, entertaining relief from the main drama.Needless to say, Mr. Keating's unorthodox approach meets with obstacles...from his fellow teachers, from the school's ultra traditional Headmaster, from Neil's overbearing father and the other parents, who are depicted as a conservative, status conscious lot. His encouragement of adolescent individualism leads to dramatic consequences for one student in particular, triggering a dramatic scenario that engulfs most of his classmates. I don't want to give the plot away, but Dead Poets Society has the most powerful ending I've experienced in the cinematic world. I could watch it over and over, and tears would either come to my eyes or virtually stream down my cheeks every time.It's an intelligent film, both gripping to watch and thought provoking afterward. Engaging plot, memorable characters, meaningful theme, wonderfully done scenes and atmosphere...Dead Poets Society has it all. A special tip of my hat to the cinematography; clearly, it should have won an Oscar for the final scene alone.This is a must-see movie, especially if you're a high school student who hates English. It might just change your view of the subject, even if your actual teacher doesn't quite measure up to Mr. Keating. And for everyone...not only ""Carpe Diem"", but a certain phrase from a Walt Whitman poem will take on incredible meaning and be remembered forever.",10.0,Anonymous,Comedy
A terrific film,There's so much good about this movie. The first time I saw it I watched it solely for plot and I loved it. Now I've seen it again and watched Peter Weir's filming and timing which is also great. Robin Williams is a terrific actor when he's serious. He proved it in Good Will Hunting but he proved it first here. If you liked that movie and your liking it had something to do with Williams than you will like this one. The plot is about a number of students who are taught by Williams about life. They are taught how to enjoy themselves. This ends up causing great controversy among the heads of the school. The students are terrific and even the dialogue is great. This is a movie that I can't imagine anyone not liking. It is good in every way.,,Anonymous,Comedy
"""Sucking all the marrow out of life doesn't mean choking on the bone.""","Australian director Peter Weir's third picture in Hollywood, 'Dead Poets Society (1989),' doesn't really explore any territory that has not been covered before. For most of the film, we can pretty much predict exactly where Tom Schulman's screenplay is heading, and so there are few surprises to set it apart from other movies of its kind. However, despite his film's hint of unoriginality, Weir hardly puts a foot wrong, and 'Dead Poets Society' proves a thoughtful, funny, haunting and inspirational drama that'll certainly stay with you once you've seen it. Accompanying a cast of bright, young actors {some of whom you'll recognise from their later successes, including Ethan Hawke and Robert Sean Leonard} is comedy veteran Robin Williams, whose warmth and passion forms the emotional core of the story.The prestigious Welton Academy prep school (""Tradition, Honor, Discipline and Excellence""), as they're four-pillar motto suggests, has a long-standing history of success and high reputation. The young male students of the college are expected, at all times, to respect rules and authority, and to continually strive for greater and greater academic achievements. Into the school comes former student, now English teacher, John Keating (Williams), whose unorthodox approach to lessons, and vigorous passion towards literature and poetry, inspires many of his impressionable young students, and severely ruffles the feathers of Welton Academy's management. Keating's rousing motto of ""carpe diem"" (a Latin phrase meaning ""pluck/seize the day,"" borrowed from Horace's ""Odes 1.11"") inspires the young boys to make the most of every opportunity, and to look within themselves to discover the correct path for their lives.The film proved quite successful at the 1990 Academy Awards, acquiring an Oscar for Best Original Screenplay, and nominations for Best Actor (Robin Williams), Best Director (Weir's second nomination in that category) and Best Picture. Perhaps because of the preparatory school setting and the cast of young actors, 'Dead Poets Society' seems as though it would be most effective with young teenage boys, who will relish the film's opposition towards conformity and strict authority. Nevertheless, the film also boasts a more important moral from which we can all take something: always seize the opportunities that are presented to you, and make every day of your life count.",7.0,Anonymous,Comedy
